iter	Passed	Remaining
0	7	7230
1	27	13049
2	44	14086
3	55	13260
4	80	15204
5	88	13951
6	94	12817
7	103	12260
8	114	12051
9	123	11645
10	132	11355
11	139	10928
12	146	10583
13	155	10401
14	163	10200
15	171	10026
16	180	9927
17	186	9696
18	192	9470
19	201	9398
20	209	9285
21	216	9146
22	224	9061
23	234	9074
24	253	9395
25	263	9390
26	270	9279
27	279	9226
28	286	9136
29	294	9070
30	304	9069
31	313	9016
32	327	9141
33	340	9207
34	348	9148
35	357	9116
36	369	9141
37	380	9172
38	390	9161
39	400	9136
40	408	9093
41	421	9131
42	429	9096
43	440	9102
44	449	9077
45	461	9109
46	470	9063
47	483	9119
48	492	9080
49	501	9048
50	509	9010
51	518	8982
52	526	8946
53	536	8936
54	546	8921
55	555	8889
56	565	8892
57	574	8867
58	585	8864
59	594	8841
60	602	8806
61	614	8829
62	626	8857
63	639	8880
64	661	9031
65	685	9211
66	697	9225
67	713	9291
68	728	9330
69	745	9407
70	765	9512
71	782	9571
72	794	9576
73	808	9603
74	818	9586
75	832	9601
76	851	9681
77	867	9727
78	880	9743
79	896	9780
80	913	9834
81	933	9915
82	946	9921
83	966	9993
84	976	9974
85	988	9966
86	1007	10024
87	1024	10075
88	1034	10046
89	1046	10034
90	1061	10058
91	1073	10047
92	1092	10100
93	1102	10074
94	1111	10042
95	1120	10001
96	1132	9993
97	1144	9984
98	1158	9994
99	1172	9997
100	1184	9989
101	1195	9976
102	1205	9946
103	1217	9936
104	1225	9896
105	1234	9865
106	1247	9862
107	1257	9837
108	1269	9826
109	1282	9831
110	1301	9872
111	1349	10136
112	1387	10310
113	1432	10540
114	1453	10588
115	1467	10589
116	1500	10722
117	1520	10758
118	1533	10745
119	1543	10717
120	1555	10698
121	1564	10659
122	1580	10663
123	1593	10653
124	1611	10671
125	1625	10666
126	1641	10676
127	1652	10650
128	1663	10628
129	1672	10590
130	1684	10572
131	1693	10534
132	1704	10507
133	1713	10469
134	1720	10425
135	1731	10398
136	1740	10363
137	1768	10443
138	1792	10495
139	1821	10576
140	1846	10633
141	1864	10647
142	1878	10640
143	1894	10645
144	1926	10736
145	1940	10728
146	1952	10707
147	1975	10745
148	1982	10698
149	1989	10650
150	1998	10615
151	2005	10568
152	2013	10525
153	2021	10488
154	2034	10473
155	2048	10463
156	2057	10429
157	2066	10399
158	2074	10359
159	2083	10324
160	2091	10289
161	2099	10251
162	2106	10210
163	2114	10170
164	2121	10130
165	2129	10096
166	2137	10059
167	2145	10023
168	2152	9986
169	2162	9959
170	2170	9927
171	2179	9895
172	2188	9866
173	2195	9829
174	2202	9792
175	2210	9757
176	2218	9726
177	2225	9690
178	2232	9654
179	2241	9626
180	2250	9600
181	2258	9568
182	2269	9548
183	2282	9538
184	2294	9525
185	2302	9494
186	2310	9462
187	2317	9430
188	2325	9402
189	2333	9372
190	2341	9342
191	2349	9311
192	2356	9279
193	2363	9246
194	2370	9214
195	2377	9181
196	2385	9155
197	2393	9126
198	2400	9097
199	2408	9066
200	2420	9055
201	2432	9044
202	2442	9022
203	2451	8999
204	2458	8971
205	2467	8947
206	2475	8922
207	2486	8905
208	2499	8895
209	2512	8889
210	2519	8860
211	2528	8837
212	2539	8824
213	2549	8802
214	2559	8784
215	2568	8762
216	2575	8736
217	2584	8713
218	2593	8693
219	2601	8667
220	2608	8641
